,question,intent_question,history,conversation_id,document_url_question,domain_question,text_answer,intent_answer,domain_answer,question_id,title,description,ingredients,steps
0,How do we prepare the tree? ,ask_question_recipe_steps,"student: I'm ready for the first step now please.  | teacher: That is great to hear, first you need to select a suitable species of tree for your climate | student: I've got an idea of where I want it to grow, what's the next step that I need to take now?  | teacher: Now we prepare the tree.",Wizard-of-Task-diy-1,https://www.wikihow.com/Start-a-Bonsai-Tree,diy,Have you selected a pot? This is a very important thing. ,answer_question_recipe_steps,diy,diy-1-1,How to Start a Bonsai Tree,"
The ancient art of growing Bonsai trees is well over a thousand years old. Many individuals are not aware that a simple potted plant is literally the meaning of Bonsai, ""Potted Plant.""
There are however a large pool of types of plants, bushes and even trees that can be trained and kept as a Bonsai.
Though usually associated with Japan, Bonsai tree cultivation actually originated in China, where the trees eventually came to be associated with the religion of Zen Buddhism. Bonsai trees are now used for decorative and recreational purposes in addition to their traditional uses. Caring for bonsai trees gives the cultivator a chance to take a contemplative yet creative role in the growth of an emblem of natural beauty.

",,"['Select a suitable species of tree for your climate.', 'Decide whether you plan on having an indoor or outdoor tree.', 'Select the size of your bonsai.', 'Visualize the finished product while selecting a plant.', 'Select a pot.', 'Prepare the tree.', 'Remove the tree and clean the roots.', 'Prune the roots.', 'Prepare the pot.', 'Pot the tree.', 'Care for your new bonsai tree.', 'Obtain your seeds.', 'Allow the seed to germinate.', 'Introduce your seedlings to a seed tray or pot.', 'Keep your seedlings in an area of suitable temperature.', 'Care for your young seedlings.']"
1,"Ok, I have a nice dark green pot, perfect. What should I do now?",ask_question_ingredients_tools,"student: I've got an idea of where I want it to grow, what's the next step that I need to take now?  | teacher: Now we prepare the tree. | student: How do we prepare the tree?  | teacher: Have you selected a pot? This is a very important thing. ",Wizard-of-Task-diy-1,https://www.wikihow.com/Start-a-Bonsai-Tree,diy,Next we will prepare the tree for potting. The details are shared here.,answer_question_recipe_steps,diy,diy-1-2,How to Start a Bonsai Tree,"
The ancient art of growing Bonsai trees is well over a thousand years old. Many individuals are not aware that a simple potted plant is literally the meaning of Bonsai, ""Potted Plant.""
There are however a large pool of types of plants, bushes and even trees that can be trained and kept as a Bonsai.
Though usually associated with Japan, Bonsai tree cultivation actually originated in China, where the trees eventually came to be associated with the religion of Zen Buddhism. Bonsai trees are now used for decorative and recreational purposes in addition to their traditional uses. Caring for bonsai trees gives the cultivator a chance to take a contemplative yet creative role in the growth of an emblem of natural beauty.

",,"['Select a suitable species of tree for your climate.', 'Decide whether you plan on having an indoor or outdoor tree.', 'Select the size of your bonsai.', 'Visualize the finished product while selecting a plant.', 'Select a pot.', 'Prepare the tree.', 'Remove the tree and clean the roots.', 'Prune the roots.', 'Prepare the pot.', 'Pot the tree.', 'Care for your new bonsai tree.', 'Obtain your seeds.', 'Allow the seed to germinate.', 'Introduce your seedlings to a seed tray or pot.', 'Keep your seedlings in an area of suitable temperature.', 'Care for your young seedlings.']"
2,Does that mean basil grows best in the spring and summer?,ask_question_recipe_steps,"student: Gotcha!  Once I have all those tools, what do I need to do to get started growing the basil? | teacher: First, choosse the kind of basil you want to grow. | student: Okay.  I've got the basil I want to grow picked out.  What should I do next? | teacher: First, start your seeds indoor about four to six weeks before the last frost for your area. Basil needs warm air and sun. ",Wizard-of-Task-diy-2,https://www.wikihow.com/Grow-Basil,diy,"Yes, like most plants, basil likes a temperate climate to grow in, such as late spring and summer when the temperatures are warmer outside.",answer_question_recipe_steps,diy,diy-2-3,How to Grow Basil,"
Basil is easy to grow, and transforms ordinary meals into culinary treasures! Fresh basil not only tastes better than dried, it actually tastes different, almost as if it were not the same herb. This article outlines how to plant and harvest basil.

",,"['Choose the kind of basil you wish to grow.', 'Start seed indoors', 'four to six weeks before the last frost.', 'Prepare seed containers.', 'Plant the seeds.', 'Remove the plastic wrap when the sprouts emerge.', 'Transplant', 'the basil plants.', 'Keep the soil damp, but not soaked.', 'Pinch off flower heads.', 'Watch for pests and mold.', 'Harvest and prune.', 'Enjoy the basil fresh.', 'Store the basil in the refrigerator.', 'Freeze the basil.']"
3,I don't really have access to those right now but i have some beeswax lipbalm that is mostly beeswax. Where do I apply it to the zipper to unstick it?,ask_question_recipe_steps,"student: Okay, now what should I do after that?  | teacher: Now, try to loosen the zipper with beeswax. If you do not have  this then paraffin wax will do  | student: Can i u se other oily substance to loosen zipper?  | teacher: It is best if it is beeswax or paraffin wax",Wizard-of-Task-diy-3,https://www.wikihow.com/Remove-Salt-Build-up-on-a-Zipper,diy,You can just rub it on the main zipper piece,answer_question_recipe_steps,diy,diy-3-1,How to Remove Salt Build up on a Zipper,"
Whether it’s from roads and sidewalks in the winter, or from the air and water near the ocean, salt can be a problem for manmade materials. Salt buildup often occurs on the zippers of scuba gear, boots, tents, and certain boating materials, like curtains. Zippers should be cleaned of salt buildup so that they don’t stick or corrode. There are multiple tactics you can use to remove salt from zippers and keep your items in working condition.

",,"['Open the zipper as much as possible.', 'Use beeswax to loosen the zipper.', 'Rinse the zipper thoroughly with freshwater.', 'Wash the zipper with a soap solution.', 'Use a soft toothbrush and vinegar.', 'Try alternatives to vinegar.', 'Soak the zipper in vinegar and baking soda overnight.', 'Use a lubricant made for zippers.', 'Wipe down the zipper with a clean towel after removing salt buildup.', 'Don’t store your gear while it’s still damp.', 'Rinse your items regularly.']"
4,If I could only choose one thing to decoupage what would be the best choice?  I want to make sure I'm getting the best results!,ask_question_recipe_steps,"student: What is the easiest type of material to apply? | teacher: Anything thin and nearly see-through, such as tissue paper is easiest to apply. | student: I'll ask for next to follow | teacher: After you have selected the material you want to use we then need to choose our surface. I've outline the steps here.",Wizard-of-Task-diy-5,https://www.wikihow.com/Decoupage,diy,I would highly recommend either decoupaging wooden furniture or terra cotta pots! I am more than happy to take you through how you would do both if you would like!,answer_question_recipe_steps,diy,diy-5-5,How to Decoupage,"
If you'd like to give new life to a piece of furniture or household object, decoupage it! Choose decorative paper or thin fabric and cut or tear it. Then use a clear-drying glue to apply the material to your clean surface. Let it dry and cover the entire piece with more glue. Once you've gotten the hang of this fun craft, try your hand at decoupaging wooden furniture or terra cotta pots for the garden.

",,"['Cover your workspace with paper to protect it from messes.', 'Choose the material you want to apply.', 'Select the surface you want to decoupage.', 'Tear or cut the material to fit on the surface of your object.', 'Pour a little glue in a small dish to use as an adhesive and varnish.', 'Dip a brush into the glue and apply the material to the surface.', ""Dry the item and varnish it if you'd like to protect it."", 'Sand and fill in any holes if you plan to stain or paint the furniture.', 'Apply primer or paint if you want to refinish the furniture.', 'Clean and dry the furniture.', 'Cut out or tear the material you want to apply.', ""Decide where you'll place the material."", 'Spread the glue onto part of the furniture and apply the material.', ""Continue to decoupage until you've used all of your material."", 'Let the furniture dry for at least a 2 to 4 hours.', 'Seal the furniture with another coat of glue.', 'Paint and seal the terra cotta pots.', 'Cut the material you want to apply.', 'Use a brush to coat the bottom of the material with glue.', 'Press the material onto your pot.', 'Cover the pot with a layer of glue.']"
5,Can you tell me what a vacuum thermoflask is used for?,ask_question_ingredients_tools,,Wizard-of-Task-diy-7,https://www.wikihow.com/Clean-a-Vacuum-Thermosflask-That-Has-Stains-at-the-Bottom,diy,You can fold it and put it in your wardrobe. ,answer_question_recipe_steps,diy,diy-7-0,How to Clean a Vacuum Thermosflask That Has Stains at the Bottom,"
Insulated flasks are all the rage these days, and for good reason. They’re affordable, easy to carry and keep your favorite beverages just the right temperature for hours and hours. Because of their construction, however, they can be difficult to clean after they’ve been used to hold coffee, tea and other liquids that can cause discoloration of the metal inside. The good news is that there are several quick and easy ways to rid your flask of unsightly stains, and most only require basic materials that you can find around the house.

",,"['Put some baking soda and vinegar into the bottom of your flask.', 'Fill the flask with hot water.', 'Let the flask sit for a few minutes.', 'Scrub the inside of the flask with a bottle brush.', 'Pour out the mixture and rinse.', 'Fill your flask with ice.', 'Add a few spoonfuls of salt.', 'Close the lid and shake.', 'Rinse out the flask.', 'Buy a package of denture cleaning tablets.', 'Fill your flask with water.', 'Add one or two denture cleaning tablets.', 'Let the flask sit for awhile.', 'Rinse repeatedly.']"
6,"I have added the salt, what materials do I need for the next step?",ask_question_ingredients_tools,"student: Ok, I've crushed my ice and filled the flask 1/4 of the way.  What's next? | student: What should my next step be? | teacher: Great! Now you'll add a few spoonfuls of salt over the ice. | teacher: Empty out your flask if there is any liquid in it.",Wizard-of-Task-diy-7,https://www.wikihow.com/Clean-a-Vacuum-Thermosflask-That-Has-Stains-at-the-Bottom,diy,Firstly you will want to put some baking soda and vinegar into your flask ,answer_question_recipe_steps,diy,diy-7-3,How to Clean a Vacuum Thermosflask That Has Stains at the Bottom,"
Insulated flasks are all the rage these days, and for good reason. They’re affordable, easy to carry and keep your favorite beverages just the right temperature for hours and hours. Because of their construction, however, they can be difficult to clean after they’ve been used to hold coffee, tea and other liquids that can cause discoloration of the metal inside. The good news is that there are several quick and easy ways to rid your flask of unsightly stains, and most only require basic materials that you can find around the house.

",,"['Put some baking soda and vinegar into the bottom of your flask.', 'Fill the flask with hot water.', 'Let the flask sit for a few minutes.', 'Scrub the inside of the flask with a bottle brush.', 'Pour out the mixture and rinse.', 'Fill your flask with ice.', 'Add a few spoonfuls of salt.', 'Close the lid and shake.', 'Rinse out the flask.', 'Buy a package of denture cleaning tablets.', 'Fill your flask with water.', 'Add one or two denture cleaning tablets.', 'Let the flask sit for awhile.', 'Rinse repeatedly.']"
7,What do I do with the flask?,ask_question_recipe_steps,"student: I have added the salt, what materials do I need for the next step? | student: I have made sure the flask is dry, what is the next step? | teacher: You will need a flask. | teacher: Now you can add the salt. I've shared some details with you.",Wizard-of-Task-diy-7,https://www.wikihow.com/Clean-a-Vacuum-Thermosflask-That-Has-Stains-at-the-Bottom,diy,Now mix baking soda and vinegar in your flask. ,answer_question_recipe_steps,diy,diy-7-4,How to Clean a Vacuum Thermosflask That Has Stains at the Bottom,"
Insulated flasks are all the rage these days, and for good reason. They’re affordable, easy to carry and keep your favorite beverages just the right temperature for hours and hours. Because of their construction, however, they can be difficult to clean after they’ve been used to hold coffee, tea and other liquids that can cause discoloration of the metal inside. The good news is that there are several quick and easy ways to rid your flask of unsightly stains, and most only require basic materials that you can find around the house.

",,"['Put some baking soda and vinegar into the bottom of your flask.', 'Fill the flask with hot water.', 'Let the flask sit for a few minutes.', 'Scrub the inside of the flask with a bottle brush.', 'Pour out the mixture and rinse.', 'Fill your flask with ice.', 'Add a few spoonfuls of salt.', 'Close the lid and shake.', 'Rinse out the flask.', 'Buy a package of denture cleaning tablets.', 'Fill your flask with water.', 'Add one or two denture cleaning tablets.', 'Let the flask sit for awhile.', 'Rinse repeatedly.']"
8,"I have added salt, what do I need for the next step?",ask_question_ingredients_tools,"student: I have made sure the flask is dry, what is the next step? | teacher: You will need a flask. | teacher: Now you can add the salt. I've shared some details with you. | student: What do I do with the flask?",Wizard-of-Task-diy-7,https://www.wikihow.com/Clean-a-Vacuum-Thermosflask-That-Has-Stains-at-the-Bottom,diy,Next lets fill the flask with hot water. I've shared the details here.,answer_question_recipe_steps,diy,diy-7-5,How to Clean a Vacuum Thermosflask That Has Stains at the Bottom,"
Insulated flasks are all the rage these days, and for good reason. They’re affordable, easy to carry and keep your favorite beverages just the right temperature for hours and hours. Because of their construction, however, they can be difficult to clean after they’ve been used to hold coffee, tea and other liquids that can cause discoloration of the metal inside. The good news is that there are several quick and easy ways to rid your flask of unsightly stains, and most only require basic materials that you can find around the house.

",,"['Put some baking soda and vinegar into the bottom of your flask.', 'Fill the flask with hot water.', 'Let the flask sit for a few minutes.', 'Scrub the inside of the flask with a bottle brush.', 'Pour out the mixture and rinse.', 'Fill your flask with ice.', 'Add a few spoonfuls of salt.', 'Close the lid and shake.', 'Rinse out the flask.', 'Buy a package of denture cleaning tablets.', 'Fill your flask with water.', 'Add one or two denture cleaning tablets.', 'Let the flask sit for awhile.', 'Rinse repeatedly.']"
9,Could I substitute baking soda if I don't have denture cleaning tablets?,ask_question_recipe_steps,"teacher: Now you need to rinse out the flask | teacher: Now rinse out the flask by taking the lid off, pouring out the ice/salt mix, and running some warm water into the flask, swirling it around, and removing anything that's left inside. | student: It's been rinsed, what's next?  | teacher: You should buy a pack of denture cleaning tablets now",Wizard-of-Task-diy-7,https://www.wikihow.com/Clean-a-Vacuum-Thermosflask-That-Has-Stains-at-the-Bottom,diy,Now you want to get rid of the mixture and rinse the flask ,answer_question_recipe_steps,diy,diy-7-6,How to Clean a Vacuum Thermosflask That Has Stains at the Bottom,"
Insulated flasks are all the rage these days, and for good reason. They’re affordable, easy to carry and keep your favorite beverages just the right temperature for hours and hours. Because of their construction, however, they can be difficult to clean after they’ve been used to hold coffee, tea and other liquids that can cause discoloration of the metal inside. The good news is that there are several quick and easy ways to rid your flask of unsightly stains, and most only require basic materials that you can find around the house.

",,"['Put some baking soda and vinegar into the bottom of your flask.', 'Fill the flask with hot water.', 'Let the flask sit for a few minutes.', 'Scrub the inside of the flask with a bottle brush.', 'Pour out the mixture and rinse.', 'Fill your flask with ice.', 'Add a few spoonfuls of salt.', 'Close the lid and shake.', 'Rinse out the flask.', 'Buy a package of denture cleaning tablets.', 'Fill your flask with water.', 'Add one or two denture cleaning tablets.', 'Let the flask sit for awhile.', 'Rinse repeatedly.']"
